DEPTH,RHOB,DT,GR,FACIES
470.55,1368.3799,656.6823,26.7176,2
470.7,1376.2603,655.1565,26.7086,2
470.85,1380.679,658.5155,25.7547,2
471.0,1379.6398,661.0191,23.8373,2
471.15,1369.5745,660.5451,22.0434,2
471.3,1364.1802,661.0381,21.3994,2
471.45,1365.8069,662.6804,21.3994,2
471.6,1366.0065,664.7745,20.7327,2
471.75,1364.1516,665.704,20.1497,2
471.9,1362.037,664.5144,19.9135,2
472.05,1360.3696,661.5938,19.6836,2
472.2,1359.2686,659.7713,19.6836,2
472.35,1358.22,660.9283,20.0468,2
472.5,1355.8153,663.205,20.5182,2
472.65,1354.9099,661.0538,20.6577,2
472.8,1359.7351,657.8177,20.8051,2
472.95,1363.6949,661.7999,20.8135,2
473.1,1362.524,665.9712,20.8037,2
473.25,1364.7362,667.9208,20.9967,2
473.4,1367.4796,666.1121,21.2931,2
473.55,1365.0297,664.4088,21.2952,2
473.7,1361.9686,664.1874,21.6495,2
473.85,1360.0516,666.3052,22.4165,2
474.0,1357.3646,666.9228,22.374,2
474.15,1360.8856,666.1118,22.2646,2
474.3,1358.495,663.9946,22.3021,2
474.45,1360.6567,660.7144,22.5447,2
474.6,1363.672,657.6452,22.9659,2
474.75,1362.8798,655.1857,22.9659,2
474.9,1361.7308,654.0084,22.6345,2
475.05,1362.2166,655.153,21.1915,2
475.2,1362.3829,656.8369,21.1257,2
475.35,1365.7335,659.1021,20.7628,2
475.5,1366.4077,659.8716,20.7628,2
475.65,1364.3698,659.1148,20.5992,2
475.8,1358.3528,657.0903,19.1742,2
475.95,1351.3961,657.153,18.5784,2
476.1,1363.1371,657.9947,18.5784,2
476.25,1370.7751,659.1441,18.632,2
476.4,1367.8081,660.4851,19.909,2
476.55,1368.0974,661.4617,19.909,2
476.7,1367.7,662.434,19.909,2
476.85,1366.1104,663.0062,19.3955,2
477.0,1364.348,663.0689,18.1437,2
477.15,1364.684,663.1367,17.2254,2
477.3,1365.0787,662.7654,16.2873,2
477.45,1366.7682,662.2026,16.2368,2
477.6,1364.6167,661.265,16.2368,2
477.75,1357.342,660.384,16.8747,2
477.9,1357.2921,658.4057,17.5311,2
478.05,1361.0404,656.6017,18.3516,2
478.2,1360.9226,654.8102,19.7357,2
478.35,1361.3834,653.8744,22.1429,2
478.5,1363.2897,654.0762,22.8602,2
478.65,1367.3809,654.1248,24.306,2
478.8,1368.772,654.0406,26.2707,2
478.95,1372.1974,653.9088,29.1081,2
479.1,1386.9121,653.9044,33.6424,2
479.25,1435.5459,654.006,39.7122,2
479.4,1487.3241,654.1823,44.0879,2
479.55,1530.3915,654.4836,46.7625,2
479.7,1541.1949,655.4445,48.9568,2
479.85,1533.6635,657.7123,49.6439,2
480.0,1514.6189,656.6737,49.6439,2
480.15,1491.8936,649.0585,47.8153,2
480.3,1476.6538,638.7025,46.6893,2
480.45,1473.3099,628.0219,46.6123,2
480.6,1480.3689,619.0927,46.1076,2
480.75,1493.3441,614.0573,43.4479,2
480.9,1497.6276,608.1479,40.6256,2
481.05,1485.5543,599.9487,38.634,2
481.2,1464.3105,588.8572,36.5629,2
481.35,1432.9802,574.5835,34.122,2
481.5,1412.026,560.2097,32.631,2
481.65,1400.3967,552.3466,31.594,2
481.8,1385.6593,551.3671,29.2238,2
481.95,1384.051,551.7663,27.3018,2
482.1,1385.6432,554.2612,26.9107,2
482.25,1381.5557,559.0251,27.024,2
482.4,1377.8987,566.6435,27.1847,2
482.55,1371.5247,575.3806,27.2289,2
482.7,1366.6829,582.7337,27.2989,2
482.85,1364.0751,589.3471,27.2585,2
483.0,1362.9001,595.9177,26.8384,2
483.15,1363.3394,605.7309,26.0324,2
483.3,1359.4899,613.3954,25.7914,2
483.45,1356.1167,620.245,25.8931,2
483.6,1359.8416,628.2605,26.5032,2
483.75,1366.0645,636.4969,27.5604,2
483.9,1368.6478,644.6525,28.0546,2
484.05,1365.4935,650.912,28.5739,2
484.2,1361.4441,654.8201,28.4435,2
484.35,1364.1454,658.8716,28.4761,2
484.5,1363.7603,661.7375,28.6492,2
484.65,1364.8719,664.4034,28.7648,2
484.8,1364.7134,664.3262,28.4996,2
484.95,1368.2704,664.2706,28.8718,2
485.1,1372.3359,664.7061,29.2428,2
485.25,1374.7007,664.9896,29.683,2
485.4,1391.3723,665.1495,29.683,2
485.55,1437.9331,665.168,29.6049,2
485.7,1434.6736,664.8417,28.512,2
485.85,1414.879,662.8668,28.512,2
486.0,1387.933,658.2914,28.5227,2
486.15,1368.6006,649.9196,29.2988,2
486.3,1371.6,650.0479,29.315,2
486.45,1369.0344,651.9104,29.315,2
486.6,1360.9752,652.355,29.2993,2
486.75,1363.9417,651.2064,28.8513,2
486.9,1364.8468,648.3636,27.4147,2
487.05,1361.8633,646.6877,27.1596,2
487.2,1365.6807,647.8557,27.1243,2
487.35,1372.0408,647.0629,27.1221,2
487.5,1375.7698,644.1846,27.1221,2
487.65,1374.749,644.2639,27.4,2
487.8,1376.3483,646.863,28.4526,2
487.95,1380.0074,651.0427,29.246,2
488.1,1374.327,652.744,29.8222,2
